FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
DONE,DATE,ATTENDEES,ITEMS / PROJ,DETAILS (RED PRIORITY),OWNER (OF ACTION IN THE PLANT),ACTION TO BE TAKEN,ACTION DUE DATE,PROJ DUE DATE,ISSUE / CAUSE OF DELAY,REMARKS,LINK,DAYS DUE
TRUE,2023-08-22,,Sudden Flood ,The use of Additional Flood-gates per building,,Focus on the Gate Elevation. ,2023-09-14,,,,,
TRUE,,,Warehouse flooring drainage system. for Flooding. ,For checking; for viewing of contractor.,,"Additional Generator, Backup in the Back of the Production. 
Assess the condition of the Cebu Genset. Test the genset. 
Prepare the area for the Genset, and check for cabling. 
Drawing for the Enclosure for sound dampening.  
Forperio Quotation. 240124 follow up qutation. 
Create a plan to ready the area of the genset. 
240131 Forperio will Quote and they will creat a design. 
240224 For visit of forperio's brother - for Quote. 240228 - follow up quotes. For update 240306
240320 - Final Design of the Generator Location. Target 240327
240403 - follow Final Design of Generator Location
240417 - Road Fist (Target May 1), Generator Location (June 1), Warehouse Drainage (July 1)
240529  -  Road Fist (Target June 14), Generator Location (July 15), Warehouse Drainage (August 15)
240821 - Borescope with Sonde. Look for suppliers that sell it and they can teach how to use. 
240828 - look for a borescope - without sonde
240904 - no short list? Create a short list of Borescope. 
240912 - check out. 
241008 - borescope for testing  - for schedule for finding. 
241016 - for Testing in water and controls. Pipeline of projects - sewage, other septic tanks, and ceiling - and the Rat/Mice problem. 
241023 - for scheduling the Testing of the Borescope. 
241120 - PR SDcard. Distance and Direction of septic Tank. 
241127 - PR SDcard follow up. 
241211 - rescheduled - scoping
241218 - Dec 19 borescoping. 
250108 - found it is directly under the CR. Plan out the Corrective design. so that it can serviced. Currently you need to remove the Toilet to access it.
250115 -rescheduled Drilling and Siphoning. Redesign of the Septic Tank clean out.  
250122 - ongoing ",2025-01-29,,,"try madeinchina and globalsources for suppliers. 
How to detec Rebar
Concrete Scanning Services
https://www.alibaba.com/countrysearch/CN/seismic-survey-equipment.html 
",,
TRUE,,,Warehouse Roof for repair,Find a Contractor for the repair of the gutter in the warehouse,,"Remaining Leaks will be handled. 
Check the stagnant Water. 
For observation.",2023-09-21,,,,,
TRUE,,,Multi-Borer CNC Router Requirements,Triggered by the DownTime of the Rover A and Rover A EDGE. We only need 3 Axis. ,,"Getting the Specifications fo Current Borring/Routers - speed (performance metrics). Stats of the Biesse Rover A.  
Set up the AI to help the anlysis. 
231025 Biesse Rover A (Old) Parameters 
Waiting for Feedback from AVIDCNC
PRepare findings of comparisons - use the Current price of a Rover with the same specs. (EMAIL)
SPLD regarding importing an AVID CNC - what will be the cost? ASk them if they have any inforamtion about the REPAIRS since there is no local support here in the philippines. 
For ordering Avid. ask the repair training if they do remote training. 240221
Find other 3-Axis Router Suppliers. Contact suppliers: Zipcode and Package Details. 240228. How remote training for the product: window hours  For update 240306. Due Dilligence other AVID machines in the Philippines 240320
Follow up for Due Dilliegence Philippine Clients 240403 - Client Privacy - they cannot give out Client information. 
3-Axis Wood Router CNC? (Rover A-3-Axis and Rover A-5-Axis). (Currently Down). 240417. (its needed Jiujiang, Biesse, and AvidCNC)  - Consolidate the quotes and create a Cost Analysis. 
Talk to William, Erning and Sir Rey - priority of Multiborer/Router as compared to - Shrink Wrap, Wood Planer, (Order of Imporance) and given the projects and condition of the current Routers 240424.
Bottleneck Confirmation - ORder priority machines for upgrade or capacity increase. 240508
Wide Belt sander (Ordered), Thickness Planer (Next), Wood Jointer 240515
QUalify the Proposal and Specificaitons - 240613
Proposal Ongoing 240626
240703 proposal ongoing
240724 Proposal For Approval. Signed for Makati
240807 -for maam Edna - before proceeding. 
240821 - Ongoing PO - 
240828 - DP single phase. 
240904 - DP follow up. 
240912 - PAID, for delivery
241008 - follow up with Terry for delivery
241016 - schedule of delivery (for packing in China)
241023 - for delivery - arrived in Egress Port. 
241106 - for delivery
241120 - For callibration
241127 - Target this Dec 4 - vacuum and dust collector. Electrical diagram. power considerations. Software - Artcam. What file format of the STL, OBJ, ARP. - complete list of Fire Formats. Jiujang - CNC software for the GCODE.        
2241211 - use the software it comes with it to test if it works. 
241218 - for PC set up. 
250108 - for Power UP. For flexible house/Moulding - 
250115 - moulding - change suppliers - ",2025-01-22,,,Industrial Design students wil help research machines. ,,
TRUE,,,ROOF OF CANTEEN,"Roof of the Canteen - for acrylic installation, and raising the ceiling. ",,"PAINTING of ROOF 240508, for conisderation of Cooling Paints
Cleaning and Leaks putty will start 240515
Installing Gutters and PIping  240529
240821 - cleaning the gutters
240828 - done",2024-08-28,,,,,
TRUE,2023-08-16,,ADMIN ROOM Transfer,"Converting the Showroom to be part of the Admin. The showroom will be moved to the Executive House. 
And Transfer to Showroom. 
- Clinic will occupy the old HR area. 
- Training room will occupy the older Admin Area. ",Maintenance,"Scheduling the Movement. 
Scheduling the TILES and existing surfaces. Maam Lou for the Tiles. 
Mandaluyong - Talk to Chris Gacad (cgacad@cornersteel.com) and Brianne. 
Tell maam they have no Tiles, Go to SPLD request options for Tiles. 240124. 
Schedule sending for Material Board. 
Requesing if Mixed will be used? 240221. follow up Tiles 240221. 
Schedule of Installation 240228 For update 240306 (missing tiles). After the staff house - 
Start By APRIL 10 2024 (240403)
Start by April 24 (240417)
Follow up RFQ (240508)
Follow up RFP (240515) - SPLD accounting follow up. 
SIPHONING has to happen first, target Jun 5 paid 240607
TRACING of the septic tank 240620
Clinic Area begun digging, cannot find Septic Tank - 240626 (get pictures and measurements when you find it as it will be part of the drawigns)
240710 - Admin septic tank - 6 inch drill bit. Still looking for septic tank. 
240724 - additional drilling cannot still find the - Snake and Endo/BOre scope for Tracing - the length. If one gives orientation - 
240807 - inspection service - for quotation. Search the users if they are available. Cost and determine where to get the borescope
240821 - sonde borescope
240828 - New Admin Room - Tile setting
240904 - ongoing 50% complete
240912 - admin room 70% complete
241008 - admind room done. repainting admin room and aircon. 
241016 - admin for repainting  - to schedule the installation of aircon
241023 - admin for finishing (this includes Panel installation)
241106 - for installation of Split type AC
241120 - Ongoing
241127 - Ongoing Electrical Installation - panels are done. 
241211 - ongoing use and transfer
250108 - Transfer complete. Clinic Remaining",2025-01-08,,,,,
TRUE,,,INCIDENT with PID : ELECTRICAL,PID electrical installers - did not do a good job. Worksmanship Issue. ,Jennifer AlinsunurinJenny,"For Checking of Report. Processing of the IC. 
Permit To Work, Inspection and Accountability of Equipment - 
for CPAR. ",2023-10-11,,,"this was an NC in an Audit. 
How to ensure that the people performing work in the Plant can be checked if they did their work, and returned the equipment. ",,
TRUE,,,PANEL SAW ,PANEL SAW (BIESSE) 1mm Deflection,,"Fine tuning - testing by Aug 22, Working by Aug 23",2023-09-06,2023-09-06,,,,
TRUE,,,ROVER A EDGE (BIESSE),Linear Bearing is broken. ,,"for Paper work. 
For Installation Target 230915-230916
Machine is operational 230916",2023-09-15,2023-09-18,,,,
TRUE,2023-08-02,,Litter in the Grounds. ,"The are beside the warehouse and the machines storage. 
Near the Canteen. The equipment is stacked. 
Ready for Client VIsit. ",,"HR looking for manpower, following timeline.  ",2023-08-11,2023-08-29,,"2+2 additional Contractors for request.  
They are for Shipping + many Works on Site (because of the storm and Client visit), 
to help the IT for the Stock. 
Manpower has been allocated to Executive House (for Housekeeping, for Repairs, and for Floodgate) 230802.",,
TRUE,2023-08-01,,PREPARE Hand over for Varnishing Area,"Walk though the varnishing and review Requirements. 
Ability of the Booths to capture the excess Dust and not to hamper the Varnishing by drawing out too much Varnish from the spray. 
Punchlist any remaining Items - for rework or workaround and correction. ",,"Starting of the Works on Varnishing Ducting and blower. 
Sanding room for reconfiguration
Dust Collectors motors and bags, for repair . 
New Dust Collector and Bags for Quote. 231122. For PO. 
Follow up Payment Status with SPLD and GASD. 
Alert Lighting, for estimate. 
Proceedure - door is open, the oven wont work. 
Job Hazard analysis, emergency Equipment is required. 
Check Fire and Earth Quake Alarm. Fire alarm for Quote 240103. Customized will make Job Hazarad Analysis 240103. 
Follow up Job Hazard analysis 240110. 240117- by monday 240122. 
for PR and NCO of materials for Alert Lighting. 240117. 
Check Existing Hirac 240124 RODEL. 
Safety Lights for NCO, and setting up connections. 240124.  Rescheduled due to Staff Computer Room 240131
Ongoing Electrical Diagram for Approval of Safety Alert System. 240214. delayed by the laser blower 240221. 
240228  Electrical Diagram for Review design and for Implementation. 
For update 240306. 
Sensor and Relay is needed 240320. Ongoing a Jointer machine. 
Sensor Installation Ongoing 240403. 
Ongoing Installation 240417 (Night shift Installer). 240417
Ongoing 240424 target for fully installed - April 27 2024 
LIGHTS to be installed, Heater Limit Switch 240508. 
Lights will be installed tomorrow 240515
call ansysis - see if the local designer is the DLSU professor - 240515
Ansys is being used to Determine how much Blower are needed 240522
Blower Testing, proferio for the ducting 240529
Proferio PR 240613 (1 blower for 2 ducts; it was 1 blower for 4 ducts, and before that 1 blower for 2 ducts) - Consolidate Documents  and calculations - we will be used in the Painting. We learn from the same mistakes - (plus the use of dampers in the future). 
240620 - Delayed to make a New Design. CAD specialist will help in this. Delays because of competing projects. Focus on getting contractual for FreeCAD. 
240724 Trying to get ME OJTS. 
240731 Contact sir rlalfonso@pup.edu.ph for OJTs for ME. Sheet metal training. Pleated Vs. Water Cuirtain (Google doc)
240807 Purchase Sample from batangas Paper - and Time and Motion Folding and Shaping into the Shape. Document the process and propose improvements. get per kilo. https://maps.app.goo.gl/Y17cjZ1mDK42vdvH7 
240821 trying to contact Batangas Paper 
240828 Batangas Paper - for schedule.  
240904 - Tentative Visit Sept 13  09177061679 talk to them schedule for visit to look at samples. We will bring the extra Pleated Filter for comparison. If they can basic tour of the facility. 
240912 - Joy - use Abes old designs, modify. 
241008 - for schedule visit to inspect options - bring a sample. For follow up. 
241016 - Waiting for ME OJT? ME COMFAC? ask Carlito. 
241023 - waitiong for ME
241120 - ME following PUP
241127 - 1 week for Francis. Alter the design of the Sheet metal. 
241211 - permit - apply a permit. update the design for Blue Printing. 
250108 - for signing
250115 - for Cabuyao City Hall signing. Pleated Filter. Coral Group - supplier for pleated filter. 
250122 - Pleated Filter - for sample and evaluation. Spray booth - new design. Plan development - status quo, Requirement and options. 
250205 - LGU for signing
250212 - 1 blower to 2 booths. 
250219 - ME ojts - follow up the PC. 
250312 - OJT for training
250326 - redoing the ducting
250411 - ducting is already workign. Curing 40C - only cuts 20% ",2025-04-02,,,"FINISHING 2017 area files
Other files
rlalfonso@pup.edu.ph  PUP ME Professor
Ask about their solar and - ",,
TRUE,2023-08-01,,PANEL SAW - platform for holding the panels for cutting,There was a damaged Feeding Platform to the Panel Saw. ,,For observation,2023-08-12,,,,,
TRUE,2023-07-26,,INVESTIGATE HOW DELVIERIES ARE COORDINATED,"TC SHIPPING IS Overloaded,  how best to prioritize the limited Vehicles we have to maange all tese trips. ",SHIPPING,,2023-09-07,,,"Background. TC Shipping was overloaded and a delivery happened that could have been done more efficiently. 
",,
TRUE,2023-07-25,,VARNISH CURING OVEN,FOR TESTING and development proceedures and safety,MAINTENANCE,"Curing Oven Tests. Scheduled with Customized Testing the Curing Oven. - Power up and Cool off cycle. Cool enough for a person to enter. 
Coordinate with Rodel for Safety Policies.  IRAC and HIRAC  update for the Oven
Customized - will set the amount of Material that will be Cured using the system. 
Develop the procedure - William. 
Airlocks? The Need for Airlocs to prevent Dust. 
Careful of CO2 levels (I dont know what chemicals might be created with accelerated Curing process). 
Varnishing Supplier.  Get information: 
Handling and Safety. 
Usage and Best Practice. 
using the AI create a plan for the tesitng parameters: size of the items, the amount of items, the amount of coats it has to cure. - Get the current curing time without the Oven, and get a Curing time with the overn given similar items.
Signaling - controls. (inner door is locked). Outer door is locked (Visual indicator). Light switch. Sensor if the door is closed or open.  Planning 231115.  Example - TO DO. 
Parameters Gathering (231115). 
Plans for next week. 
NCO for the Lighting. For Estimate - Wiring, Switch, Light and Relays. BOM by 231213",2023-12-20,,,,,
TRUE,2023-07-12,,ROVER A (BIESSE) CPU power supply down,CPU Power supply is down. ,MAINTENANCE,For Testing Aug 22,2023-08-23,2023-08-04,,"Test the factors: PSU and Motherboard - why it doesnt turn on.
Double check the specifications.  
https://chat.openai.com/share/a3fcb7d1-68f1-4cdb-9ca0-9c9df4df2484 ",,
TRUE,2023-07-25,,ZX EUROMAC Turret,Stepper motor issue. ,MAINTENANCE,Request quotation of stepper motor.,2023-08-08,,,,,
TRUE,2023-07-19,,EXCESS MATERIALS FROM SITE. ,"Proceeuder related to Job Sites and Projects, regarding EXCESS materials",,"For Schedule, along side the PULL OUT. 
For process writing and updating. 
Mat OP O2. for review add denzel to the feedback of the Process. 
Call denzel for clarification of comments 240110. 
For clarification: the Excess Material process. 
for signatures 
Coordinate with Tech center
241023 - AFTER data Cleaning of RR and ITEMS and ITEM GROUPS
241218 - share proceedures
250108 - Fix the Backlog of MRS - because the XS MAT are Backlogs
250326 - ITEM CODE fixing
250528 - Proceedures from Makati. Sched meeting waiting on QMS training and readiness",2025-06-25,,,,,
TRUE,2023-07-19,,PULL OUT PROCEEDURE.  CONTROL - including the disposal,"PULL OUT  - ERPNEXT. 
Includes Disposal or Material Returns (Restocking)",,For Schedule. Combine with the JOB SITE EXCESS MATERIALS.,2023-07-26,,,We have Identificationi for Pull Out. ,,
TRUE,2023-07-11,,TEMPORARY ADD. STAFF,THIS IS to ensure Training in ERPNEXT is undelayed. As welll CORRECTION - of ITEMS. Like Stock Reconcilation and Production Area Inventory.,,"Ongoing Recruitment for Plant. Target recruited 1-2 IT ojt to help in the WH in transition. 
Checking Admin - We will see if we can set up the Admin Area. 
Problem ITEMS, staff needs further training in what to fill.  for Creating a Checklist of Items ",2023-09-07,,,"1 person to Count, 2 Helper. Assisted by Coordinators. 
The admin area will be redone anyway. 
Additional Contractural to start. ",,
TRUE,2023-07-11,,HACO SHEARING,"Backguage is not accurate, (just happened()",,"For Checking of Maintenance
For adjustment by FIS schedule on July 19 (wed)",2023-07-20,,,,,
TRUE,2023-07-11,,PANEL SAW - Blades,"Blades were ordered, Waiting for the blades",,Follow up SPLD for Payment,2023-07-20,,,,,
TRUE,2023-07-11,,PANEL SAW - Broken,"Bearings for Scorring Blade and Main Saw, needed replacing",,Replacing Main Saw bearings ,2023-07-25,,,,,
TRUE,2023-07-05,,RECONCILATION OF STOCKS. ,"We have a lot of Items to sort. PRoduction has Pull items, there is a lot of Stocks that need reconcilationi  both in Tech and the Plant. ",,"Warehouse Stocks ongoing. 
Pullout and FG Items next. ",2023-09-21,,,W,,
TRUE,2023-07-01,,ROOF DAMAGE during July 1 2023,Roof broke due to storm and Flooded last saturday July 1 2023.,,"For Observation and Solar. 
for Coordinationf or SOlar. ",2023-09-29,2023-08-18,,target by end of July,,
TRUE,2023-07-04,,TRAVIS Exception to VEHICLE CODING,"https://www.officialgazette.gov.ph/2010/07/29/mmda-memorandum-circular-no-04-series-of-2010/ LAW excempts company services. "" Company buses/ shuttle service ferrying employees for free and with appropriate LTO stickers and markings are also exempted.

""",,Law change after the pandemic NO Circular but its in the news,2023-10-04,,,Travis is a Company Shuttle Vehicle. For exception for Coding. ,,
TRUE,2023-07-04,,ONGOING AUDIT FOR ISA-23-1 QMS,ONGOING AUDIT FOR ISA-23-1 QMS,,Submission of Schedule. ,2023-07-08,2023-07-08,,,,
TRUE,2023-06-27,,PAINTING SECTION AIRCON down for 1 month,PAINTING aircon has been PO'd 3 weeks ago (230627),MAINTENANCE,"Use of PUllout Split Type Issue a Request for the item. 
write the request listing what will be replaced and where they will be used. 

, and Using the Old Maintenance AIRCON as the Backup Aircon. 
Housing for the Paint Aircon to prevent downtime. ",2023-07-11,,,,,
FALSE,2023-06-28,,FreeCAD - for PDTD and EDD. ,FREECAD Implementation,,"New Batch For Training by Abe. 
for Upgrade. 
NCO for FreeCAD BIM project? 
Send NCO and Order the Parts
Get the PC upgrade so that this can have no delays. 
Upon hiring the FreeCAD specialist for the Building. 
SEE BUILDING permit issue 240529
240828 parts for CAD pC with TC
240912 - Joy ME for project
250108 Waiting for OJT
250326 for schedule visit and commissioning
250411 - Demo of Sample Process - Use Case
250423 - Paul Roxas - returns from thesis on Monday - for various - Solinoid Housing, FreeCDA training of PDTD, TPDD, Comfac Branches, etc... are under him
250521 - OJT july
250702 - 1 prospect so far. no commitment yet
250709 - OJT systems - Railway Engineering and Samantha - RJ for freecad training. COnfirming Tech Center reproting for july 14 - begin with FReeCAD training. 
250716 - 2 candidates - for the Project based FreeCAd position
250826 - Nicco assigned and OJTs. Observing their ability to use the System. 
250905  - Ongoing
250926 -  Ongoing
251008 - Ongoing
251015 - Ongoing
251022 - Ongoing
251029 - After CFD success and delivery
251105 - ongoing
251126 - ongoing - used in Spray Booth for schedule training
251210 - ongoing in projects
260206 - Deferred to July",2026-07-01,,,Gluing Station missing. ,,
TRUE,2023-06-21,,ARNI visits and observes the Plant AUDIT,ARNI visits and observes the Plant AUDIT,,For reschedule with ARNI visit. ,2023-07-04,,,,,
TRUE,2023-06-21,,Hazardous Waste Disposal,"Expired Chemicals Turned up - 2019 Report
230621 Inventory Items for Disposal.xlsx ",,"Requesting INvoice/Billing  (vendor promises 240104)
for Update - the payment. 
Finished Jan 29",2024-01-26,2023-11-29,,"2 months to process paperwork. by october
Nearby Vendors dont seem to perform. ",,
TRUE,2023-07-20,,AIRCON inventory. ,"I need the aircons in a list with their Locaiton and Power Draw stats. We are going to connecting to a Microntroller for Monitoring. In Compliance to the  RA 11285 Energy Conservation law: Detailed Reporting on Energy Consumption. 

",,"Spreadsheet of Aircons and power Draw specs. (Amperes). 
Aircon List",2023-06-27,,,,,
TRUE,2023-06-15,,LFK Turret Machine. June 15 2023,Solenoid Valve and Powersupply Problems. ,,"LFK Engineers from China will Arrive. (August)

Request proposal for the solenoid valve.
",2023-08-16,,,,,
TRUE,2023-06-13,,230613 Implementation of ERPNext Stock Module - Transition from Paper Manual Systems,230613 Implementation of ERPNext Stock Module - Transition from Paper Manual Systems,,"Manpower of 2 staff x 20 days. Looking for the manpower.
UPDATE HR on manpower
See problems above. 
We are at the ",2024-07-17,,,"Foreman is currently encoding the FGTS manually. The coordinator will now add this encoding to their task. 
WO > Coordinator > Coordinator Prints FGTS for Foreman to Confirm. ",,
TRUE,2023-06-13,,Pressure Vessel and Internal Combustion Permit to Operate,Permits ,,for Pick up. ,2023-06-14,,,,,
TRUE,2023-06-07,,,"STOCK RECONCILATION WITH OJTS. 
PRODUCTION -pull out. Priority: Finished Good Items. ",,"Arranging Contractual. 
Arrange Transportation. 
Perk of Subsidizing the OJTS. Meal and Allowance. 
Tasks they complete in a Day - to reduce rework. 
Depts (Prod) and WH they have target to Accomplish the Count. ",2023-06-23,,,Decide what to do with items. ,,
TRUE,2023-08-29,,3D Printer,3D printing Integrated into our Design and Products.  230810 3D PRINTERS,,"Schedule Test printing
For Training. 
Schedule 3D printing Training when RJ/Andrei Visit. ",2024-05-22,,,,,
TRUE,2023-06-07,,,MICRO DATA CENTER - ongoing project,,"Technology Plan and Scope of Project. 
For NDA with NU
For Joint reseach project. ",2023-09-21,,,"4,000php for a complete device able to control 2-4 aircons. 
CECO - certified energy consveration officer. ",,
TRUE,2023-05-24,,ISO COMPLIANCE,Harod's Successor is not going to be available anytime soon. Time to disrubute the investigation amonge the departments that are accountable. ,,"Schedule Meeting with Operations. 
Advanced Business Planning. SJO-2022-2023
Following up HR.   hopefully sooner. ",2023-06-21,,,,,
TRUE,2023-05-24,,Shrink Packing,Shrink Packing Evaluation,MAINTENANCE,"asking management's Feedback
Place submitted Recommendation letter here. 
add video
Shrink Wrap video
Other video
What is the decision point? Compare this to the other improvements and look at the impact. to set its priority. 
Follow up. 
Set limitations to the Applicability of the Shrink Pack. - how much items will use the Shrink Wrap 240221.
240228 Of our curent WO how many will use shrink packing. Pick a month period that is represnetative.   For update 240306
QA - 240320 prepare the report - current and projected.  
240403 - schedule creating the projected savings. 
Projected Benefits based 240417. (4000pcs). Emphasis in the Time and Freed up labor. 
Where is the Shrink packing in order Machine Priorities? 240508
Wide Belt sander (Ordered), Thickness planer and Wood Jointer (Next Ordered), ??? 240515
Resched for next week  at 240529 -  240522
Findings - is that there is as much manpower needed. Request for Conveyor system 240529. 
SHELVED after Material Handling Projects. 240613",2025-01-01,,,"2.7 years ROI. QA packing data. speed of wrapping: Automated 576pcs per day, person 114 pcs. 500 x 1000 worktop. 
230726 Feasibility Study for Shrink Wrapping.docx 
",,
TRUE,2023-05-03,,SOLARIC MAINTENANCE OF INVERTS and PANELS,Maintenance of SOLAR Power and Upgrade Evaluation.  this is for the 11285 Energy Conservation Law. ,,"You can use an Alias of a Group. so that maintenance at CSC dot com will be used to log in. 
Link to the website and then checking the perofmrance of the Solar. 
We have no control over the Solar Reports, We will instead plan and install a Power monitoring system. 
Discuss with RJ and Andrei first. then we can discuss with Ambibuzz. 
For Schedule Visit of RJ and Andrei - for AA project 240306. 
We will use AA to monitor power draw. 
Include the Solar Monitoring in the Discussioni 240117. When the design is made, consult with Solaric. 
Visit tentatively May 2 2024, 240424
DESIGNGING the Relay Monitoring of Solar. ",2024-09-25,,,"1) Cost Benefit for Battery. Net metering is. 
2) Free Seminar May 31. 8 am 4pm",,
TRUE,2023-05-23,,Gluing and Painting Station Design and Planning,"We are getting Abraham DelosReyes to create the CAD drawing and BOM
planning for Customized. 

https://drive.google.com/drive/folders/1Qtvh_oorsm-U802kZIa1gsbu_r7Tspym?usp=drive_link",John and Kris,"Garry pick up Kris's PC. 
For designing of the Painting. Missing a Painting Room 2. 
Refresher in FreeCad for designing. 
Schedule of the Viewing of the Design and Feedback. 
For Redesign. 
For schedule face to face
follow up designs and share the folder with all the files 231108
1 more gloing station 231115. (following up)
Painting room 2 and gluing station remaining. 231121
Send justin the files and then lets go over what remains. 
Kris will send drawings and renders. Justin will show how to set up front and side view. 
Pushed to next week For update 240306
Installation of Sensor
Target April 27 240424
For Quotation 240515
Redesign of Finishing Area Ducting 240515
240724 Getting ME to make the Ducting - Fume Hood for the Gluing Station
240807 - waiting for ME Applicants
240821 - Add this Function the PR (project based)
241008 - Getting Joy Pajarillio
241023 - Waiting for ME OJT
241120 - Waiting for ME OJT - Ensure we have PRF for this. 
241218 - just send the designs, for Signature to Follow",2025-01-08,,,,,
TRUE,2023-05-02,,FINAL DESIGN FOR FINISHING AREA,"PDTD will need to make As Built for Permit for Post. for Permit to Operate. 
1) Mechanical Plans
2) Structural - CIVIL is sufficient. 
3) Electrical 
for DENR - temporary permit to operate. Temp Permit 3 months. ",John Karol,"For Approval - GLUING. 
Designing the Wet/Spray Painting Area. 
Powder coating Area. 
If possible additional Scope Batch Type Oven. 

Follow up EDD. Updating the Pleated Filter. 
Keep 1 unused filter so we can create a Locally made Pleated Filter. 
For schedule visit. 
List of To Do for Finishing Area and Concerns. Please link Punch List. 
for Review of the Final Design. 231206
Following up Ryan Posecion if he is Interested. 
Drawings for evaluatioin.
CONTACT NU ME students for help with the ME drawings. Basics of FreeCAD. 
NCO for BIM Project. For the development of Training material - for BIM. 
Sensor Being installed 240403
Target April 27 240424
Increase the Power or Blower/Swap out for a more powerful blower 240515
240731 Duct Design - the Paper filter gets clogged to quickly. the ideas explored is Water Curtain or Replacing the paper Filter more frequently.  Batangas Paper - per kg or per roll. 
List down the options and Pros and Cons for comparison. 
Create a Estimate.  apa@mgprinting.co  (ask them if they do paper cutting and folding as a service). 
240807 - waiting for ME Applicants
240821 - PR for ME
241023 - Waiting for ME OJT",2025-01-08,2023-08-16,,"Temporary Permit is only 3 months maxmimum. 6 weeks to produce the plans. Sooner the better. 
HVAC Finishing Updates
Randell John Audulan
Kyle Ysabel Baquir
James Kenneth Bollena
Raghnailt Canja 
Canja, Raghnailt <canjari@students.national-u.edu.ph>; Bollena, James Kenneth <bollenajs@students.national-u.edu.ph>; Andulan, Randell John <andulanrg@students.national-u.edu.ph>; Kris Alleo Marquez <kmarquez@cornersteel.com>; Michael Noel Belangel <itcabuyao@cornersteel.com>; edmund valen <edmund@cornersteel.com>; Christopher Gacad <cgacad@cornersteel.com>",,
TRUE,2023-05-02,,ELECTRICAL PERMIT,"Updated Electrical Plans, Signed and Sealed for Permit to Operate. ",,"Follow up EDD for the Plans and measurements. 
EDD to shcedule another visit for Metal Area. 
Scheduled for Oct 22 ViSit of PID/EDD. 
They will return on Oct 26. 3 panels. 
Then proposal and Cost estimate of Proposal. 
Follow up. Ongoing Plan. 231122 target. 
Get requirements for Electrical permit (other than AS Built) 231122
Ferdie asks for Extension because they dont have Layout and Cable Tagging. can be sent to kris by this week 231206.
Ongoing Tagging information 231213. Follow up EDD.
EDD still on vacation. 
Modify the Design 240103.  What is EDD's Timeline. Who made the asbuilt of the Plant. Ron is asking who did the as built. Coordinating with Jason. 240110. Follow up Ron 240117
for clarification from Makati 240124, for 240127 saturday
Follow up PJ of EDD 240131
Passing of Form. Send the form for Signing and Sealing. Follow up Makati 240221. 
follow up missing Details 240228
for Applicationi on 240306. 
WAITING for DOLE Schedule, for Visit. 240403
No schedule given, for follow up 240417
Following DOLE 240424
Schedule for Inspection 240508, follow up. 
follow up Inspection Schedule 240515
DOLE inspection, follow up 240522
240529 - DOLE Inspection - following up 
240613 - DOLE inspection - reapply company registration - online 
240620 - follow Accounting from the Documents 
240626 - working accounting for the documents
240703 - Online Application checked, registration has been approved 10-20 has been approved. for approval Pressure vessel and Electrical Systems. 
240710 - Status of registration, On-Leave
240724 - missing some details, for summission next week. 
240731 - ARF Visit of PID for Single Line Diagram of the Other sections. Load Schedule for the various departments. Plus Executive House. Application goes first. Share with Justin - put that in the Fileserver for IT backup. 
240807 - executive house construciton plan will be used for SLD, for additional lights 
240821 - Basket ball court missing, Requiremetns for the Pressure vessel ongoing. 
240828 - lighting plan of court and guard house. Follow up EDD
240904 Follow up EDD
240912 - follow up EDD
241008 - https://drive.google.com/drive/folders/1t7UpFHH6m1knY7i38oKhYQet8zMGSQnI missing load schedule
241016 - SLD of wood and metal - follow up Carlito EDD
241023 - For Notary of the Applicatioin Form. 
241106 - application notarized (for submission to DOLE)
241120 - DOLE visit - reapply ONLINE all. 
241127 - Reapplied - Waiting for Response. 1 line diagram ready. 
241211 - PID will come for load schedule
250108 - For Schedule PID - follow up. 
250115 - for Schedule PID follow up
250122 - PID findings
250205 - PID made an Asbuilt - will return
250212 - PID rescheduled Feb 15-16
250219 - PID weekend Feb 22-23
250226 - PID this week Feb 26          
250305 - correction from the description
250326 -following up with EDD
250411 - Follow up EDD
250423 - follow up EDD
250430 - Follup up PID - Customer Care is the BACKUP
250514 - Follow up EDD
250521 - ARF issued
250528 - for return sunday
250604 - following up load scheduling
250611 - Follow up EDD for load schedule
250625 - following up EDD - delayed
250702 - following up edd
250709 - PID for follow up. 
250716 - EDD follow up
250813 - for printing
250826 - For Visit DOLE for permit
250905 - For Visit DOLE - Sep 10 next week
250919 - Wednesday (250924) morning DOLE visit
251008 -= Voltage Drop, Short Circuit, Arc Flash Analysis, Protection Coordination - Schedule meeting with EDD - for PandaPower https://erp1.cornersteelsystems.com/app/task/ITR-25-0018 
251015 - follow up EDD for the analysis
251022 - for installation of software
251029 - follow up software installation
251105 - follow up software installation
251112 - contractor and follow up installation
251120 - supplier PR PO
251126  - for schedule visit
251210 - for scedule RIco Penones - 
260206 - ",2026-01-14,,,,,
TRUE,2023-04-28,,YAWEI BENDER IS DOWN,"R-Axis is not aligned. Error: NO switch Detected, cannot operate with the error",MAINTENANCE,"MESCO will return to check the X-axis timing belt.
For PR of R-axis and X-axis belt.
For follow-up quotation
waiting for Belt. 

Approval of PO
Waiting for delivery (ETA June 20) 

Unit is operational.
For observation",2023-06-21,,,,,
